epoch,shard,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,time_min
1,1,0.37455498174029667,0.3295666470357248,0.8827906594056041,0.891938696067299,0.27800346098576756,0.3495175852351373,14.703808065255483
2,1,0.3361882766147478,0.30612942525163367,0.8953385346648501,0.9016789562964553,0.3759370743564733,0.39846096008608195,14.688611753781636
3,1,0.32058004961580505,0.2979219724606883,0.8994098068142281,0.8993293312177704,0.41580661081741593,0.405615483693855,37.979642542203266
4,1,0.3142124915144452,0.2922520722846309,0.900628151369839,0.905267471046539,0.4277015090737782,0.4163121046623147,37.993308051427206
5,1,0.3083193578890392,0.28627979658258873,0.9020001287219905,0.9052674727576772,0.43924404514162835,0.4272630156504439,38.00328777631124
6,1,0.3039503409689357,0.2827665277770119,0.9029183522278235,0.9053315531694147,0.44581911549601533,0.43201271008520087,38.016815268993376
7,1,0.2993549631208646,0.28103769323276134,0.9046726256143861,0.9062927641937036,0.4568518170450063,0.4357757096761443,38.0223614970843
8,1,0.297495748261873,0.279664655505684,0.9051085142385201,0.9063141214790527,0.461699777116619,0.44190444143324253,38.025849946339925
9,1,0.29627259535377337,0.27889355014938344,0.9046208198760308,0.9077238959558843,0.46037194537180226,0.44485866700539534,38.028518827756244
10,1,0.2950203266679024,0.2780429044355188,0.9058159403011006,0.9087491871067211,0.46863239727302064,0.4468340023249092,38.03560982147852
11,1,0.2935444729454091,0.2769496535044609,0.9058534563088617,0.9080443000109002,0.4669268738260317,0.4469330519934475,38.05733615557353
12,1,0.29299946050612435,0.27685747158816126,0.906292916703768,0.908962790190318,0.46997605768477124,0.44678726364987087,38.06980696519216
